tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
Art,1754,Brigham Young University - Idaho,Gerald,,Griffin,633031,74,good,TEACHER,PROFESSOR,4.3
Education,1754,Brigham Young University - Idaho,Ashlee,,Griffin,2610857,8,good,TEACHER,PROFESSOR,4.6
English,1754,Brigham Young University - Idaho,Joseph,,Griffin,2093984,84,good,TEACHER,PROFESSOR,4.8
Biology,1754,Brigham Young University - Idaho,John,,Griffith,453595,127,good,TEACHER,PROFESSOR,4.0
Foundations,1754,Brigham Young University - Idaho,Gary,,Griffith,2578599,2,good,TEACHER,PROFESSOR,4.0
Child  Family Studies,1754,Brigham Young University - Idaho,Jim,,Grigg,2027422,1,average,TEACHER,PROFESSOR,3.0
Mathematics,1754,Brigham Young University - Idaho,Jared,,Grimmer,2069517,3,good,TEACHER,PROFESSOR,5.0
Electrical Engineering,1754,Brigham Young University - Idaho,Richard,,Grimmett,1562585,54,good,TEACHER,PROFESSOR,4.7
Foreign Languages & Literature,1754,Brigham Young University - Idaho,Deborah,,Grimshaw,2930707,2,good,TEACHER,PROFESSOR,5.0
Biology,1754,Brigham Young University - Idaho,Michael,,Groesbeck,469274,56,good,TEACHER,PROFESSOR,3.7
Communication,1754,Brigham Young University - Idaho,Allison,,Groll,2386736,11,good,TEACHER,PROFESSOR,3.9
Biology,1754,Brigham Young University - Idaho,Katie,,Groneman,2214585,10,good,TEACHER,PROFESSOR,5.0
Art,1754,Brigham Young University - Idaho,Lana,,Grover,857318,14,good,TEACHER,PROFESSOR,4.3
English,1754,Brigham Young University - Idaho,Susan,,Grover,928512,9,good,TEACHER,PROFESSOR,4.3
English,1754,Brigham Young University - Idaho,David,,Grover,1373667,21,good,TEACHER,PROFESSOR,4.0
English,1754,Brigham Young University - Idaho,Stephen,,Grover,1417044,2,good,TEACHER,PROFESSOR,5.0
Recreation,1754,Brigham Young University - Idaho,Keith David,,Grover,1730717,4,good,TEACHER,PROFESSOR,4.9
Foreign Languages & Literature,1754,Brigham Young University - Idaho,Miriam,,Grover,2633993,6,good,TEACHER,PROFESSOR,3.5
English,1754,Brigham Young University - Idaho,Quinn,,Grover,1664344,44,good,TEACHER,PROFESSOR,4.4
English,1754,Brigham Young University - Idaho,Emily,,Grover,1807287,35,good,TEACHER,PROFESSOR,4.2
Computer Science,1754,Brigham Young University - Idaho,Blake,,Grover,3042298,0,zero,TEACHER,PROFESSOR,N/A
Art,1754,Brigham Young University - Idaho,Mark,,Grow,2383463,7,good,TEACHER,PROFESSOR,4.3
Health Science,1754,Brigham Young University - Idaho,Brittany,,Guerra,2447888,5,good,TEACHER,PROFESSOR,4.4
Management,1754,Brigham Young University - Idaho,Jeff,,Gulbransen,2703205,5,average,TEACHER,PROFESSOR,3.0
Economics,1754,Brigham Young University - Idaho,Dominique,,Gumirakiza,1875779,10,average,TEACHER,PROFESSOR,3.4
Criminal Justice,1754,Brigham Young University - Idaho,Garth,,Gunderson,1798920,3,good,TEACHER,PROFESSOR,4.5
Art,1754,Brigham Young University - Idaho,Autumn ,,Gundry,2888972,0,zero,TEACHER,PROFESSOR,N/A
Nursing,1754,Brigham Young University - Idaho,Nick,,Gunn,2265381,0,zero,TEACHER,PROFESSOR,N/A
Child amp Family Studies,1754,Brigham Young University - Idaho,Ryan,,Gunnell,2298153,9,good,TEACHER,PROFESSOR,4.7
Communication,1754,Brigham Young University - Idaho,Emily,,Gunnell,2775755,1,poor,TEACHER,PROFESSOR,1.0
Biology,1754,Brigham Young University - Idaho,Mark,,Gunnell,2864734,2,good,TEACHER,PROFESSOR,5.0
Business,1754,Brigham Young University - Idaho,Mark,,Gunter,1908387,8,poor,TEACHER,PROFESSOR,2.4
Online Learning,1754,Brigham Young University - Idaho,Carol,,Guthrie,2919308,0,zero,TEACHER,PROFESSOR,N/A
Business,1754,Brigham Young University - Idaho,Nathan,,Gwilliam,2083115,0,zero,TEACHER,PROFESSOR,N/A
Religion,1754,Brigham Young University - Idaho,Ezra,,Gwilliam,2410313,89,good,TEACHER,PROFESSOR,4.8
Communication,1754,Brigham Young University - Idaho,Spencer,,Haacke,1644581,78,good,TEACHER,PROFESSOR,4.6
Languages,1754,Brigham Young University - Idaho,Brooks,,Haderlie,503542,12,good,TEACHER,PROFESSOR,5.0
English,1754,Brigham Young University - Idaho,Derek,,Haderlie,1547006,29,good,TEACHER,PROFESSOR,3.7
International Studies,1754,Brigham Young University - Idaho,Brooks,,Haderlie,2116994,0,zero,TEACHER,PROFESSOR,N/A
Health Science,1754,Brigham Young University - Idaho,Shannon ,,Haderlie,2931398,3,good,TEACHER,PROFESSOR,3.7
Biology,1754,Brigham Young University - Idaho,Ehren,,Haderlie,1848205,50,good,TEACHER,PROFESSOR,3.9
Business,1754,Brigham Young University - Idaho,Brian,,Haderlie,2056270,7,good,TEACHER,PROFESSOR,3.7
Art,1754,Brigham Young University - Idaho,Leslie,,Hagen,2631001,2,poor,TEACHER,PROFESSOR,2.0
Online Learning,1754,Brigham Young University - Idaho,Derek,,Hagey,1503606,3,good,TEACHER,PROFESSOR,4.7
Online Learning,1754,Brigham Young University - Idaho,Shannon,K,Haight,1782163,1,good,TEACHER,PROFESSOR,5.0
Art,1754,Brigham Young University - Idaho,Cindy,,Hailes,2091708,1,poor,TEACHER,PROFESSOR,2.0
Education,1754,Brigham Young University - Idaho,Todd,,Hale,2347143,1,poor,TEACHER,PROFESSOR,2.0
Home & Family Studies,1754,Brigham Young University - Idaho,Lisa,,Hale,2669838,2,good,TEACHER,PROFESSOR,3.5
Business,1754,Brigham Young University - Idaho,Michael,,Hales,1943455,49,good,TEACHER,PROFESSOR,5.0
Sociology,1754,Brigham Young University - Idaho,Alexandra,,Hales,2349344,8,good,TEACHER,PROFESSOR,4.6
Communication,1754,Brigham Young University - Idaho,Derrick,,Hales,2763990,3,good,TEACHER,PROFESSOR,5.0
